# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
2.000000000000000000000000000000e+01;8.837651744291631361605254824099e-01;8.184714382290450007673143772990e-01;1.424278242913294523219747134135e+00;2.000000000000000000000000000000e+00;1.483786264710486246798382126144e+00;1.982022663677197815701447325409e+00;1.720270588473551409691708613536e+00;0.000000000000000000000000000000e+00;4.457380981104650582297344030280e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.586434962223562178049163229332e-03;1.007854733840968112015823443528e-03;8.198980702670290686417953196496e-04;2.015709467682041608482812478087e-03;2.015709467681988699416795185471e-03
2.100000000000000000000000000000e+01;8.881943254770399143183112755651e-01;8.155749378844546759736999774759e-01;1.420729850115361792006751784356e+00;2.000000000000000000000000000000e+00;1.482855272709807215036903471628e+00;1.981139200664678412522334838286e+00;1.718735779782468053866750778980e+00;0.000000000000000000000000000000e+00;4.452231026818019338393839223755e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.589081797504371352733332223295e-03;1.008249086062178558401147832058e-03;8.213197495508814741094205658101e-04;2.016498172124555308959426014326e-03;2.016498172124462934934330249348e-03
2.200000000000000000000000000000e+01;8.926112976196776127579823878477e-01;8.126960604137133392654845920333e-01;1.417200673441289637821682845242e+00;2.000000000000000000000000000000e+00;1.481927943490261245784722632379e+00;1.980257151722913722124985724804e+00;1.717205360576940842420867738838e+00;0.000000000000000000000000000000e+00;4.447109468837196692529711850028e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.591721686807470855992696634473e-03;1.008643592585064608160849708440e-03;8.227318426005680342127934778773e-04;2.017287185170163477110349958821e-03;2.017287185170145696194721196548e-03
2.300000000000000000000000000000e+01;8.970161614632700119997821275319e-01;8.098346604345491028809078670747e-01;1.413690558701149457832002553914e+00;2.000000000000000000000000000000e+00;1.481004254066102809872518264456e+00;1.979376509689898089305870598764e+00;1.715679304739659460921075151418e+00;0.000000000000000000000000000000e+00;4.442016106689585137889952903834e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.594354709257244165354627796205e-03;1.009038253470001360312391369689e-03;8.241344433320499113931889567652e-04;2.018076506940041751902992217538e-03;2.018076506940015731050852565431e-03
2.400000000000000000000000000000e+01;9.014089870268569004707615022198e-01;8.069905941018561401634201502020e-01;1.410199353313156045430787344230e+00;2.000000000000000000000000000000e+00;1.480084181652518759975123430195e+00;1.978497267456173158706178583088e+00;1.714157586374752906266394347767e+00;0.000000000000000000000000000000e+00;4.436950741791566049827821860418e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.596980943028184201509800388408e-03;1.009433068777387549480595296814e-03;8.255276445866053906808001983109e-04;2.018866137554875279241928254237e-03;2.018866137554806757664627170357e-03
2.500000000000000000000000000000e+01;9.057898437486320286637919707573e-01;8.041637190878271335137128517090e-01;1.406726906283058298186006140895e+00;2.000000000000000000000000000000e+00;1.479167703663384791923363081878e+00;1.977619417964326276049291664094e+00;1.712640179805370976851008890662e+00;0.000000000000000000000000000000e+00;4.431913177426333714549466780142e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.599600465359533527087698701052e-03;1.009828038567645545897644154820e-03;8.269115381456206741520031933135e-04;2.019656077135350939755209509485e-03;2.019656077135338363010008677634e-03
2.600000000000000000000000000000e+01;9.101588004921586927409293821256e-01;8.013538945623943643425945992931e-01;1.403273068183842786638138022681e+00;2.000000000000000000000000000000e+00;1.478254797709058987464914025622e+00;1.976742954208485114619975320238e+00;1.711127059571301955998023913708e+00;0.000000000000000000000000000000e+00;4.426903218722060039461152491924e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.602213352569294407129474322460e-03;1.010223162901220921722211798510e-03;8.282862147452593531635200996277e-04;2.020446325802571947705121857553e-03;2.020446325802511232383462669304e-03
2.700000000000000000000000000000e+01;9.145159255525132646624797416735e-01;7.985609811739620145232265713275e-01;1.399837691135747297366265229357e+00;2.000000000000000000000000000000e+00;1.477345441594198227619472163497e+00;1.975867869233827622821308978018e+00;1.709618200426618050968841089343e+00;0.000000000000000000000000000000e+00;4.421920672630347119193283678129e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.604819680066754379946236674925e-03;1.010618441838583101560766763782e-03;8.296517640902968280733342787414e-04;2.021236883677278092785734031622e-03;2.021236883677169238887616486977e-03
2.800000000000000000000000000000e+01;9.188612866623433461654713028111e-01;7.957848410304341202348155093205e-01;1.396420628786574802404629735975e+00;2.000000000000000000000000000000e+00;1.476439613315609467036892965552e+00;1.974994156136092637865431242972e+00;1.708113577337354804797087126644e+00;0.000000000000000000000000000000e+00;4.416965347904988799243586328203e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.607419522366656996353873054773e-03;1.011013875440225579308006764734e-03;8.310082748684849028239507440219e-04;2.022027750880520113874183607550e-03;2.022027750880486286766402059811e-03
2.900000000000000000000000000000e+01;9.231949509978486512196127478092e-01;7.930253376805287413020550957299e-01;1.393021736292300971626900718547e+00;2.000000000000000000000000000000e+00;1.475537291060123212815824444988e+00;1.974121808061096050579408256453e+00;1.706613165479216487341318497784e+00;0.000000000000000000000000000000e+00;4.412037055081036358329671376310e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.610012953101301082237117867635e-03;1.011409463766665050785120705257e-03;8.323558347637205045294050975713e-04;2.022818927533375638061485801700e-03;2.022818927533356989784119051023e-03
